SellAgent,SellSideNumber,SellAgentRanked
C21 Realty Group,5,Low
Caitlin Clement,2,Low
Candace Breen,2,Low
Carissa Richard,1,Low
Carl Coutu,1,Low
Carl Feldman,1,Low
Carl Passarelli,5,Low
Carla Menard,3,Low
Carla Polanco,13,Medium
Carla Zimmerman,19,Medium
Carlos Almeida,6,Low
Carlos Mendes,5,Low
Carlos Ocampo,7,Low
Carmen Oquendo,1,Low
Carmino Marrapese,1,Low
Carol Battersby,1,Low
Carol Cooney,10,Low
Carol HOPKINS,1,Low
Carol LaMontagne,13,Medium
Carol LaRiviere,13,Medium
Carol Muccino,2,Low
Carol Perry,11,Low
Carol Schneider,1,Low
Carol Shaw,3,Low
Carol VICCIONE,1,Low
Carolann Silvia,2,Low
Carole Del Bonis,8,Low
Carole Scaralia,9,Low
Carole Tedeschi,8,Low
Caroline Butterfield,1,Low
Caroline Ceceri,12,Medium
Caroline Cooper,1,Low
Carolyn Bassett,11,Low
Carolyn Coleman,2,Low
Carolyn Drumm,2,Low
Carolyn Izzi,2,Low
Carolyn Kindley-Single,1,Low
Carolyn Nolan,2,Low
Carolyn Petreccia,3,Low
Carrissa Quintella,1,Low
Carter Tracy,1,Low
Cary Marcoux,1,Low
Casey Fava,5,Low
Cassandra Albergaria,3,Low
Cassandra Barone,1,Low
Cassie Krasnianski,1,Low
Cassondra Cavanagh,1,Low
Catherine Watne,1,Low
Catherine Wright,1,Low
Cathy Drinkwater,6,Low
Cathy Roseen,1,Low
Cathy Schobel,2,Low
Cathy Singer,5,Low
Cathy Sousa,4,Low
Cathy Wicks,1,Low
CC Wall Team,21,High
Celeste Costa,1,Low
Celeste Fournier,17,Medium
Celeste Robin,3,Low
Celia Almonte,4,Low
Celina Lemos,4,Low
Chad Dupuis,1,Low
Chanara Yen,6,Low
Chanthaly Morin,2,Low
Chantra Sek,7,Low
Charle Larson,1,Low
Charlene Marasco,3,Low
Charles Marine,3,Low
Charlotte Lewis,1,Low
Charlotte Mills,1,Low
Charlotte Roberts,6,Low
Chelsea Berndt,4,Low
Cheri Yanku,1,Low
Cherry Arnold,4,Low
Cheryl Commendatore,1,Low
Cheryl Cotter,3,Low
Cheryl Davis,11,Low
Cheryl Eidinger-Taylor,1,Low
Cheryl ELEY,2,Low
Cheryl Enos,3,Low
Cheryl Henshall,11,Low
Cheryl Lamothe,5,Low
Cheryl Lee Brill,8,Low
Cheryl Masciarelli,2,Low
Cheryl Roireau,1,Low
Cheryl Sampson,9,Low
Cheryl Santos,1,Low
Cheryl Walsh,4,Low
Cheryle Cantin,1,Low
Chick Silva,1,Low
Chip Parisi,1,Low
Chris Fascione,1,Low
Chris Ferreira,3,Low
Chris Field,3,Low
Chris Frechette,2,Low
Chris Healy,7,Low
Chris Henson,1,Low
Chris Piasczyk,1,Low
Chris Richard,1,Low
Chris Shaw,1,Low
Chris Slocum,1,Low
Chris Stephenson,3,Low
Chris Tanner,2,Low
Chris Whitten,4,Low
Chris Woodard,1,Low
Christa L'Heureux,1,Low
Christie Ray,1,Low
Christina Ardente,4,Low
Christina Balletto,4,Low
Christina Israel,2,Low
Christina Paesano-Gliottone,1,Low
Christina Resendes-Caswell,1,Low
Christine Brien,2,Low
Christine Corriveau,26,High
Christine DiNardi,3,Low
Christine Dupuis,10,Low
Christine Kulacz,7,Low
Christine Lawrence,2,Low
Christine MacDonald,1,Low
Christine Marotti,2,Low
Christine Meschino,1,Low
Christine Palumbo,1,Low
Christine Pascarella,10,Low
Christine Petrarca,1,Low
Christine Rocchio,6,Low
Christine Rossi,1,Low
Christine Simpson,4,Low
Christopher Brelsford,5,Low
Christopher Brosnahan,7,Low
Christopher Casieri,2,Low
Christopher Cote,1,Low
Christopher Cox,31,High
Christopher Ireland,2,Low
Christopher Jaswell,1,Low
Christopher Jolicoeur,1,Low
Christopher LESSA,3,Low
Christopher Lynch,7,Low
Christopher Montes de Oca,1,Low
Christopher Murphy,2,Low
Christopher Parayno,1,Low
Christopher Petras,10,Low
Christopher Sutherland,1,Low
Chuck Cummiskey,5,Low
Chuck Gendron,3,Low
Chuck Pollock,6,Low
Chuck Walkup,1,Low
Ciara Nallen,2,Low
Cidalia Barboza,14,Medium
Cindy Arias,2,Low
Cindy Cooke,5,Low
Cindy Corkum,4,Low
Cindy Fraielli,2,Low
Cindy Ruel,5,Low
Claire Bilida,1,Low
Claire Davenport,3,Low
Claire Jubb,15,Medium
Claudia Campanella,10,Low
Claudia Maiorana,3,Low
Claudia Philbrick,1,Low
Claudine Pande,2,Low
Cliff Davidson,21,High
Cliff Nulman,1,Low
Codi Ethier,3,Low
Colleen Conley,4,Low
Colleen Honan,1,Low
Colleen Nicholson,2,Low
Connor Dowd,1,Low
Connor Dowd Realty Group,1,Low
Consuelo Quinonez,5,Low
Corey Auger,1,Low
Corina Bonenfant,4,Low
Corleen Law,13,Medium
Cory Carney,1,Low
Courtney Moody,1,Low
Craig Luchon,9,Low
Cristina Howe,2,Low
Crystal D'Agostino,7,Low
Cynthia Antonelli,9,Low
Cynthia Cabana,1,Low
Cynthia Fernandez,3,Low
Damon Divozzi,5,Low
Dan Ferrara,20,High
Dan Liese,2,Low
Dana Micheletti,2,Low
Daniel Byrnes,2,Low
Daniel Capone,2,Low
Daniel Goggin,1,Low
Daniel Hornby,3,Low
Daniel McCusker,1,Low
Daniel O'Neil,1,Low
Daniel Ripley,1,Low
Danielle Almeida,2,Low
Danielle Armstrong,16,Medium
Danielle Dantas,11,Low
Danielle Dunn,3,Low
Danielle Frechette,10,Low
Danielle Kindberg,1,Low
Danielle Kiser,4,Low
Danielle McLeod,3,Low
Danielle Thompson,4,Low
Danny O'Shea,1,Low
Dante Lopardo,3,Low
Daralynn Dennis,1,Low
Darci Acomb,2,Low
Darleen Carley-Longo,1,Low
Darlene Reilly,2,Low
Darrell Alexander,1,Low
Darrin Viccione,1,Low
Dave Binns,1,Low
Dave Boisvert,10,Low
Dave Collier,1,Low
Dave Connors,2,Low
Dave Dubak,2,Low
Dave Miles,4,Low
Dave Patriarca,3,Low
Dave Serpa,25,High
David Abbott,8,Low
David Banigan,1,Low
David Buonaiuto,3,Low
David Carloni,1,Low
David Castellone,1,Low
David Colardo,5,Low
David DeCristo,6,Low
David Defelice,2,Low
David DeLauder,2,Low
David Drowne,1,Low
David Dunne,26,High
David Glashow,1,Low
David Gower,1,Low
David Hackett,1,Low
David Hasslinger,44,High
David Lefort,4,Low
David Lenger,3,Low
David Maggiacomo,2,Low
David Mancini,2,Low
David Nielson,4,Low
David Palermo,2,Low
David Petrone,4,Low
David Reid,1,Low
David Smiley,1,Low
David Spinella,1,Low
David Splaine,6,Low
David Tatangelo,5,Low
David Travers,2,Low
David Yacino,11,Low
Dawn Aloisio,2,Low
Dawn Barlow,2,Low
Dawn Carey,7,Low
Dawn Perrotta,4,Low
Dawn Rusin,1,Low
Dawne Nordstrom,1,Low
Dayro Jaramillo,26,High
Dean Benjamin,3,Low
Dean deTonnancourt & Associates,22,High
Dean Narodowy,1,Low
Deanna Devonis,1,Low
Deb Chennisi Team,1,Low
Deb Cordeiro,12,Medium
Deb Evans,3,Low
Deb Garneau,1,Low
Deb Hackett,23,High
Deb Jobin & Company,5,Low
Deb Lessard,5,Low
Deb Malachowski,1,Low
Deb McGann,7,Low
Deb Schusterman,1,Low
Deb Snape,1,Low
Debbie Arel,7,Low
Debbie Blanchet,60,High
Debbie Chennisi,1,Low
Debbie Ciunci Wier,9,Low
Debbie Gold,16,Medium
Debbie Grimaldi,1,Low
Debbie Scanlon,4,Low
Debbie Spivak,1,Low
Debbie Tully,1,Low
Debby Smith,12,Medium
Debi Miranda,3,Low
Debi Tofani,7,Low
Deborah Augenstein,4,Low
Deborah Burlingame,6,Low
Deborah Giannini,19,Medium
Deborah Holden,5,Low
Deborah Houghton,10,Low
Deborah Palumbo,1,Low
Deborah Plant,1,Low
Deborah Sawyer,2,Low
Deborah Scaralia Mathers,2,Low
Deborah Swift-Mathers,1,Low
Debra Almeida,2,Low
Debra Avicolli,3,Low
Debra Connetti,5,Low
Debra Cucinotta,4,Low
Debra Dalti,1,Low
Debra DeLuca,4,Low
Debra Donahue,6,Low
Debra Dziekiewicz,4,Low
Debra Fonger,7,Low
Debra Heroux,4,Low
Debra Hetu,4,Low
Debra Jobin,1,Low
Debra Mann,2,Low
Debra Miraglia,1,Low
Debra Rocchio,1,Low
Debra Torres,1,Low
Debra Viveiros,8,Low
Debra WADDINGTON,1,Low
Dee Conley,11,Low
Delmy Recinos,9,Low
DeMascole Rossi & Mann Associates,13,Medium
Denis Gagne,2,Low
Denise Boisvert,4,Low
Denise D'Amico,1,Low
Denise Guzzetti,2,Low
Denise Lato,2,Low
Denise Leonard,4,Low
Denise Loiselle,16,Medium
Denise Madeira,4,Low
Denise Mancini,11,Low
Denise Rogan,7,Low
Denise Shea,1,Low
Dennis Billias,4,Low
Dennis Bove,1,Low
Dennis Deloach,1,Low
Dennis Oliveira,4,Low
Dennis Psilopoulos,1,Low
Dennis Sackal,2,Low
Derek Brazeau,4,Low
Derek Cabrera,2,Low
Derek Eisenberg,1,Low
Derek Sackal,1,Low
Derek Simoneau,3,Low
Devon Dwyer,4,Low
Diana Barone,17,Medium
Diana Kryston,8,Low
Diana Noriega,3,Low
Diana Sanginario,2,Low
Diana Tavares,6,Low
Diane Aubin,2,Low
Diane Darrah,2,Low
Diane Fasulo,7,Low
Diane Germani,2,Low
Diane Johnson,2,Low
Diane Lazarus,17,Medium
Diane Silvia,3,Low
Dianne Lemay,1,Low
Dianne Mann,1,Low
Dianne Tarro,1,Low
Dina Karousos,2,Low
Dina Murphy,10,Low
Dino Caparco,3,Low
Dionne Fox,3,Low
Diva Quirk,4,Low
Dixon Disu,3,Low
Dolores DiMeo Carroll,6,Low
Dolores Rabuffo,1,Low
Dominique Cipriano,7,Low
Don Batten,2,Low
Don Martone,7,Low
Don Morash,1,Low
Don Parsons,6,Low
Dona Vellucci,13,Medium
Donald Coletti,9,Low
Donald Hardy,2,Low
Donald Savastano,2,Low
Donna Cash-Wiwczar,1,Low
Donna Castellone,18,Medium
Donna Conway,4,Low
Donna Dalton,4,Low
Donna Delauro,6,Low
Donna DiGiulio,11,Low
Donna Durand,1,Low
Donna Fagnant,16,Medium
Donna Feeley,2,Low
Donna Gomes,16,Medium
Donna Haynes Dwyer,2,Low
Donna Holmes,2,Low
Donna Kennedy,2,Low
Donna Lima - Johnson,7,Low
Donna Prete-Gomes,6,Low
Donna Proulx Ainsworth,5,Low
Donna Sabitoni,3,Low
Donna Silva,1,Low
Donna Valeriana,1,Low
Donna Webster,1,Low
Donnie Bennett,10,Low
Donny Nicholas,1,Low
Doreen Caruso,9,Low
Doreen Mullaly,4,Low
Doreen Peirce,10,Low
Doreen Picone,5,Low
Doreen Reynolds,2,Low
Dory Skemp,1,Low
Dottie Goulet,6,Low
Doug Bennett,14,Medium
Doug Jeffrey,13,Medium
Doug McKinnon,2,Low
Doug Mittelsteadt,5,Low
Doug Street,1,Low
Douglas Bell,1,Low
Douglas Lopez,1,Low
Dov Pick,3,Low
Duane Albro,2,Low
Duane Boucher,21,High
Duke Silva,10,Low
Dulce Peguero,11,Low
Dwight Grant,3,Low
Dwight LEIGH,2,Low
E. Cort Facteau,1,Low
Earl Adams,1,Low
ED D'Agostino,12,Medium
Ed Duffy,38,High
Ed Izeman,6,Low
Ed Kazarian,14,Medium
Ed Lemire,1,Low
Ed Morris,2,Low
Ed Viveiros,3,Low
Eddy Troiano,1,Low
Eduardo Marines,5,Low
Edward Bishop,3,Low
Edward Figueroa,1,Low
Edward Fracassa,1,Low
Edward Johnson,4,Low
Edward Kanneh,2,Low
Edward Neubauer,1,Low
Edward Pellegrino,5,Low
Edward Stachurski,1,Low
Edward West,2,Low
Eileen Ryan,2,Low
Elaine Blomenberg,4,Low
Elaine ECCLESTON,1,Low
Elaine Lemieux,1,Low
Elaine Readey,1,Low
Elaine Reavey,1,Low
Elaine Rodericks,2,Low
Eleanor San Antonio,2,Low
Elena Mauro,5,Low
Elena Yanez,11,Low
Eli Torres,1,Low
Elisabeth Peterman,1,Low
Elise Ouellette,1,Low
Elise Pansey,18,Medium
Elise Vetri,15,Medium
Elise Vetri & Associates,4,Low
Elizabeth Cooper,1,Low
Elizabeth DeSousa,3,Low
Elizabeth Kirk,3,Low
Elizabeth Murray,11,Low
Elizabeth Resendes,2,Low
Elizabeth Ruiz,4,Low
Elizabeth Walsh,3,Low
Elizete Silva,6,Low
Elle O'Donnell-Forte,1,Low
Ellen Bradley,4,Low
Ellen Brady,7,Low
Ellen Connelly,6,Low
Ellen Feole,1,Low
Ellen Kasle,23,High
Ellen Leahy,4,Low
Ellen Morrissey,3,Low
Ellyn DiRienzo,2,Low
Elmehdi Mechtaly,2,Low
Elyse Gesmondi,4,Low
Emeka Ndukwe,2,Low
Emeliza Infante,1,Low
Emily Anderson,2,Low
Emily Kheradi,4,Low
Emily Westcott,4,Low
Emma Thompson,2,Low
Emmy Dwyer,1,Low
Eric Anderson,6,Low
Eric Brouillard,19,Medium
Eric Chauvin,3,Low
Eric Gonsalves,8,Low
Eric Hahn,1,Low
Eric Kopf,1,Low
Eric Marsh,1,Low
Eric Proulx,6,Low
Eric Shields,3,Low
Erica Davies,1,Low
Erica Kregling,5,Low
Erica LeBeau,31,High
Erica Penardo,3,Low
Ericka Morales,1,Low
Erik Hanson,1,Low
Erin Hopkins,3,Low
Erin Mercer,3,Low
Erin Morse,1,Low
Erin Sheridan,6,Low
Erin Smith,2,Low
Ernest Lambert,8,Low
Ernesto Rainho,1,Low
Ernie Boren,1,Low
Erny Francisco,1,Low
Estelle Swain,1,Low
Eve C. Bonitati,2,Low
Evelyn Arias,5,Low
Evelyn Flatley,1,Low
Evelyn Tomaszewski,1,Low
Fabiola Brunache,4,Low
Fawaad Qamar,2,Low
Feighery Moniz Team,14,Medium
Feng Lei,27,High
Filomena ALTIERI,1,Low
Filomena Silva,10,Low
Fitzpatrick Team,3,Low
Flora Rocha,2,Low
Florence Byrnes,3,Low
Fran ENGLISH,2,Low
Frances Bidell,3,Low
Frances Pearson,9,Low
Francis Hiraldo,15,Medium
Francisco Batista,13,Medium
Frank Bennett,1,Low
Frank Miele,17,Medium
Frank Moreau,6,Low
Frank Rubino,1,Low
Frank Schiavone,1,Low
Frank Simonelli,2,Low
Frank Sullivan,10,Low
Fred D'Aguanno,9,Low
Fred Morra,2,Low
Fred Richenderfer,8,Low
Fred Uriot,1,Low
Freddie Rodriguez,1,Low
Frederick Morse,1,Low
Friedman Real Estate Group,1,Low
Gabe Francis,5,Low
Gail Buccafurri,4,Low
Gail Jenard,6,Low
Gail Lemek,6,Low
Gail McGinnis,1,Low
Gamaliel Ferreira,9,Low
Gammons Team,1,Low
Garret Roberts,2,Low
Garrett Mancieri,2,Low
Garry Morin,3,Low
Garry Reilly,2,Low
Gary Almeida,28,High
Gary Balletto,1,Low
Gary Diggle,1,Low
Gary Giammarco,3,Low
Gary Grande,3,Low
Gary Mallozzi,6,Low
Gary Winters,2,Low
Gayle Moone,7,Low
Gayle Sepe,1,Low
Genie Coelho,1,Low
George Avedisian,9,Low
George Calat,1,Low
George Cardono,2,Low
George Dys,1,Low
George Gardner,2,Low
George Hannouch,29,High
George Henry,3,Low
George Martini,1,Low
George Murphy,1,Low
George Potsidis,1,Low
George Stansfield,3,Low
Gerard Laferriere,4,Low
GERI Santagata,2,Low
Gerri Schiffman,73,High
Gia Parmentier,7,Low
Gian Russo,1,Low
Gian Ventilato,1,Low
Gil Campos,4,Low
Gil Medeiros,3,Low
Gilda Aldana,3,Low
Gina Howarth Team,31,High
Gina Lupino,1,Low
Gina Perry,5,Low
Gina Ronci Mohamed,10,Low
Glen Lombardi,4,Low
Glen Reichard,3,Low
Glendaliz Colon,1,Low
Glenn Carpenter,2,Low
Glenn D'Arrigo,2,Low
Glenn Lavery,1,Low
Gleyribel Rodriguez,5,Low
Gordon Riley,1,Low
Grace Flaherty,2,Low
Grace Sahagian,3,Low
Greg Contardo,4,Low
Greg Coupe,2,Low
Greg Dantas,2,Low
Greg Morrison,2,Low
Gregg LeBlond,2,Low
Gregg Rondeau,1,Low
Gregory Costa,2,Low
Gregory Datseris,7,Low
Gregory ECCLESTON,2,Low
Gregory Marderosian,1,Low
Gregory Richard,1,Low
Guerline Aurelus,6,Low
Gus Marsella,3,Low
Guy Gervais,5,Low
Guy Glennon,1,Low
Harold Lavine,1,Low
Harry Eliopoulos,1,Low
HARRY McCoy,1,Low
Harry Smith,10,Low
Heather Civitarese,1,Low
Heather DePina,4,Low
Heather Jarry,2,Low
Heather Mallory,3,Low
Heather Realejo,9,Low
Heather Renzi,1,Low
Hector Rosa,12,Medium
Heidi Farmer Piccerelli,2,Low
Heidi Kelley,7,Low
Heidi Loffredo,1,Low
Helen Coupe,1,Low
Helen Macdonald,3,Low
Helen Pirri,1,Low
Helen Townsend,6,Low
Helene Dominguez,17,Medium
Henry Priest,3,Low
Hermano Pereira,1,Low
Hilda Vargas,1,Low
Hill Harbor Group,51,High
Hollie Curtis,5,Low
Holly Bellucci,23,High
Holly Richendrfer,4,Low
Holly Ritter,3,Low
Hope Brady,1,Low
Howard Lukoff,2,Low
Howie Julian,1,Low
Howie Reiner,8,Low
Hugo Gomes,1,Low
Ian Iannuccilli,1,Low
Ilanna Ball,5,Low
Ilensi Rodriguez,6,Low
Indira Fontalvo,11,Low
Inessa Moshkina,5,Low
Irene Goulet,14,Medium
Irene Levesque,1,Low
Iris Ribeiro,1,Low
Irma Barrios,3,Low
Irma Bolanos,6,Low
Isabel Amado,3,Low
Isabel Ferreira,5,Low
Isabel Garcia,3,Low
Ivelisse Rodriguez,3,Low
Ivy Lamonica,21,High
Izabella Whiting,6,Low
J. Christopher Real Estate Group,20,High
J. Dolan,10,Low
J. Ronald Brochu,2,Low
Jack Galvao,6,Low
Jack Harrington,4,Low
Jack McVicker,1,Low
Jack Silberman,3,Low
Jackie Cranwell,1,Low
Jackie Lenahan,3,Low
Jackie Russell,1,Low
Jacklyn Barraza,5,Low
Jacob Rochefort,12,Medium
Jacqueline Mallett,2,Low
Jacquelyn Clegg,6,Low
Jaime Moretti,5,Low
Jaime Rua,4,Low
Jake BURKE,2,Low
James Downes,1,Low
James Ferguson,1,Low
James Girardi,7,Low
James Howard,2,Low
James Jodoin,6,Low
James Karalekas,13,Medium
James Luth,18,Medium
James Merida,2,Low
James Moore,1,Low
James San Giovanni,11,Low
James Wardick,1,Low
James Wilkie,3,Low
Jamie Rebello,10,Low
Jamison Monello,6,Low
Jan D'Angelo,3,Low
Jan Hall,3,Low
Jan Hay,5,Low
Jan Malcolm,6,Low
Jan Parrillo,4,Low
Jan Truitt,3,Low
Jane Driver,18,Medium
Jane Larsen,9,Low
Jane Marshall,4,Low
Janet AUDET,7,Low
Janet Dolber,3,Low
Janet Ellis,8,Low
Janet Flori,3,Low
Janet Fromm,8,Low
Janet Kowalski,4,Low
Janet Maloy,1,Low
Janet Morrissey,1,Low
Janet Scaralia,3,Low
Janet Towner,4,Low
Janice Barta,1,Low
Janice Costello,3,Low
Janice Geddes,20,High
Janice Henry,4,Low
Janie Aracil,1,Low
Janie Woodard,1,Low
Janis CAPPELLO,1,Low
Jared Iannelli,1,Low
Jared Tomassi,2,Low
Jarle Gervacio,1,Low
Jarrod Atteridge,1,Low
Jarrod Lewis,40,High
Jarrod Rocha,3,Low
Jasmine Melo,7,Low
Jason Bombardier,1,Low
Jason Boulay,2,Low
Jason Clark,3,Low
Jason Corsini,11,Low
Jason Etting,1,Low
Jason Farley,4,Low
Jason Ferri,2,Low
Jason Gelfuso,8,Low
Jason Healey,5,Low
Jason McAloon,2,Low
Jason Monterecy,7,Low
Jason Quinn,5,Low
Jason Saphire,10,Low
Jay Badger,2,Low
Jay Rezendes,20,High
Jay Shaw,2,Low
Jayne Furlong,3,Low
Jazz Napolitano,10,Low
Jean Allard,5,Low
Jean Clarke,13,Medium
Jean Fallago,1,Low
Jean Ingraham,1,Low
Jean Marzilli,9,Low
Jean Rhau,4,Low
Jean Tinsworth,11,Low
Jeanie Gorrie,5,Low
Jeanne Derham,3,Low
Jeanne Elson Gordon,2,Low
Jeanne Lomastro,4,Low
Jeanne Powers,1,Low
Jeanne Smith-Haroian,1,Low
Jeanne Smith Team,1,Low
Jeannine Therriault,1,Low
Jeff Clare,3,Low
