ListAgent,ListSideNumber,ListAgentRank
Carol LaMontagne,37,High
Carol Muccino,1,Low
Carol Perry,4,Low
Carol Schneider,1,Low
Carol Shaw,1,Low
Carolann Silvia,1,Low
Carole Del Bonis,19,Medium
Carole Scaralia,24,High
Carole Tedeschi,3,Low
Caroline Butterfield,1,Low
Caroline Ceceri,12,Medium
Carolyn Bassett,2,Low
Carolyn Chodat,1,Low
Carolyn Coleman,2,Low
Carolyn Drumm,2,Low
Carolyn Izzi,2,Low
Carolyn Kindley-Single,1,Low
Carolyn Nolan,2,Low
Carrissa Quintella,1,Low
Carter Tracy,1,Low
Cary Marcoux,1,Low
Casey Cianci,1,Low
Casey Fava,4,Low
Cassie Krasnianski,1,Low
Cassondra Cavanagh,2,Low
Cathy Drinkwater,4,Low
Cathy Schobel,1,Low
Cathy Singer,9,Low
Cathy Sousa,2,Low
CC Wall Team,31,High
Cecilia Duarte,1,Low
Celeste Costa,2,Low
Celeste Fournier,39,High
Celeste Robin,2,Low
Celia Almonte,5,Low
Chanara Yen,2,Low
Chanthaly Morin,1,Low
Chantra Sek,1,Low
Charle Hornby,2,Low
Charle Larson,7,Low
Charlene Marasco,3,Low
Charlene Venancio,1,Low
Charles Henry Jr,1,Low
Charlotte Roberts,6,Low
Chelsea Berndt,2,Low
Cheri Yanku,3,Low
Cherry Arnold,4,Low
Cheryl Cotter,1,Low
Cheryl Davis,7,Low
Cheryl Deschenes,1,Low
Cheryl Eidinger-Taylor,4,Low
CHERYL ELEY,1,Low
Cheryl Henshall,8,Low
Cheryl Lamothe,2,Low
Cheryl Lee Brill,9,Low
Cheryl Masciarelli,1,Low
Cheryl Precopio,1,Low
Cheryl Sampson,5,Low
Cheryl Santos,1,Low
Cheryl Shatkin,1,Low
Cheryle Cantin,3,Low
Chet Szafranski,8,Low
Chick Silva,1,Low
Chris Ferreira,2,Low
Chris Field,3,Low
Chris Ford,1,Low
Chris Frechette,1,Low
Chris Healy,5,Low
Chris Henson,1,Low
Chris Piasczyk,3,Low
Chris Randall,1,Low
Chris Shaw,1,Low
Chris Stephenson,2,Low
Chris Tanner,1,Low
Chris Whitten,17,Medium
Christa L'Heureux,2,Low
Christina Ardente,2,Low
Christina Balletto,3,Low
Christina Israel,3,Low
Christina Resendes-Caswell,1,Low
Christine Brien,1,Low
Christine Corriveau,9,Low
Christine DiNardi Group,2,Low
Christine Dupuis,17,Medium
Christine McNally,1,Low
Christine Palumbo,1,Low
Christine Pascarella,8,Low
Christine Petrarca,2,Low
Christine Rocchio,1,Low
Christine Simpson,2,Low
Christine Whittaker,1,Low
Christopher Brosnahan,2,Low
Christopher Casieri,1,Low
Christopher Cox,18,Medium
Christopher Dalti,1,Low
Christopher Jolicoeur,2,Low
Christopher Lynch,2,Low
Christopher Mehr,1,Low
Christopher Montes de Oca,1,Low
Christopher Pelletier,1,Low
Christopher Sutherland,1,Low
Chuck Cummiskey,16,Medium
Chuck Gendron,2,Low
Chuck Pollock,2,Low
Chuck Spencer,7,Low
Cidalia Barboza,17,Medium
Cindy Arias,2,Low
Cindy Corkum,2,Low
Cindy Ruel,1,Low
Claire Davenport,4,Low
Claire Jubb,13,Medium
Claire Puleo,3,Low
Claudia Campanella,10,Low
Claudia Maiorana,1,Low
Clay Shackleton,1,Low
Cliff Nulman,1,Low
Coastal Properties Group,4,Low
Codi Ethier,1,Low
Colleen Nicholson,6,Low
Connor Dowd Realty Group,2,Low
Constance De Souza,2,Low
Consuelo Quinonez,1,Low
Corina Bonenfant,3,Low
Corleen Law,8,Low
Cornerstone Realty Group,3,Low
Cory Carney,1,Low
Courtenay Clifford Wall,1,Low
Craig Luchon,1,Low
Craig Picard,1,Low
Cristina Howe,2,Low
Crystal D'Agostino,5,Low
Crystal Wall,1,Low
Cynthia Antonelli,4,Low
Cynthia Cabana,1,Low
Cynthia Fernandez,1,Low
Damon Divozzi,3,Low
Dan Ferrara,7,Low
Dan Kildea,1,Low
Dan Liese,1,Low
Dan Mansolillo,1,Low
Dan Saffer,13,Medium
Dana Micheletti,2,Low
Dana Mills,1,Low
Dana Phillips,1,Low
Dana Zangari,1,Low
Dani Desmarais,1,Low
Daniel Byrnes,4,Low
Daniel Goggin,1,Low
Daniel Hornby,10,Low
Daniel McCusker,2,Low
Daniel Ripley,1,Low
Danielle Almeida,1,Low
Danielle Armstrong,27,High
Danielle Dantas,6,Low
Danielle Frechette,13,Medium
Danielle Kiser,2,Low
Danielle Thompson,4,Low
Dante Lopardo,4,Low
Dante Votolato,1,Low
Darci Acomb,1,Low
Darla Harris,1,Low
Darleen Carley-Longo,2,Low
Darlene Reilly,2,Low
Dave Boisvert,4,Low
Dave Dubak,2,Low
Dave Miles,2,Low
Dave Patriarca,4,Low
Dave Pezzullo,1,Low
Dave Serpa,46,High
David Abbott,7,Low
David Banigan,1,Low
David Cappucci,1,Low
David Carloni,1,Low
David Castellone,1,Low
David Colardo,5,Low
David Coleman,1,Low
David Corelli,1,Low
David DeCristo,4,Low
David Defelice,6,Low
David Dunne,66,High
David Ghigliotty,1,Low
David Gower,2,Low
David Hackett,2,Low
David Hasslinger,25,High
David Iannuccilli Group,4,Low
David Lefort,4,Low
David Maggiacomo,2,Low
David Mancini,1,Low
David Moreau,2,Low
David Nielson,1,Low
David Palagi,1,Low
David Peck,2,Low
David Petrone,5,Low
David Ramage,1,Low
David Smiley,3,Low
David Splaine,3,Low
David Sullivan,1,Low
David Tatangelo,6,Low
David Travers,1,Low
David Willis,1,Low
David Yacino,7,Low
David ZARTARIAN,1,Low
Dawn Aloisio,1,Low
Dawn Carey,3,Low
Dawn Perrotta,10,Low
Dawne Nordstrom,1,Low
Dayro Jaramillo,8,Low
Dean Benjamin,1,Low
Dean Charpentier,1,Low
Dean deTonnancourt & Associates,22,High
Deanna Devonis,4,Low
Deb Chennisi Team,10,Low
Deb Cordeiro,21,High
Deb Evans,1,Low
Deb Hackett,32,High
Deb Jobin & Company,13,Medium
Deb Lessard,3,Low
Deb Malachowski,1,Low
Deb McGann,2,Low
Debbie Arel,1,Low
Debbie Blanchet,65,High
Debbie Ciunci Wier,5,Low
Debbie Gold,19,Medium
Debbie Grimaldi,1,Low
Debbie Scanlon,3,Low
Debbie Spivak,1,Low
Debbie Tully,1,Low
Debby Smith,27,High
Debi Miranda,2,Low
Deborah Augenstein,1,Low
Deborah Burlingame,3,Low
Deborah Giannini,20,High
Deborah Holden,1,Low
Deborah Houghton,4,Low
Deborah Nisbet,1,Low
Deborah Palumbo,2,Low
Deborah Sawyer,1,Low
Deborah Scaralia Mathers,1,Low
Deborah Swift-Mathers,1,Low
Debra Almeida,6,Low
Debra Avicolli,4,Low
Debra Connetti,5,Low
Debra Cucinotta,1,Low
Debra DeLuca,2,Low
Debra Donahue,6,Low
Debra Dziekiewicz,6,Low
Debra Fonger,7,Low
Debra Heroux,10,Low
Debra Hetu,3,Low
Debra Mann,1,Low
Debra Miraglia,1,Low
Debra Rocchio,1,Low
Debra Viveiros,9,Low
Dee Conley,21,High
Delmy Recinos,2,Low
DeMascole Rossi & Mann Associates,8,Low
Denis Gagne,2,Low
Denise Boisvert,1,Low
Denise D'Amico,4,Low
Denise Guzzetti,1,Low
Denise LeFaiver,1,Low
Denise Leonard,2,Low
Denise Loiselle,7,Low
Denise Mancini,22,High
Denise Rogan,4,Low
Denise Shea,1,Low
Dennis Billias,6,Low
Dennis Deloach,1,Low
Dennis Egan,1,Low
Dennis Sackal,1,Low
Denny Zisk,2,Low
Derek Brazeau,5,Low
Derek Cabrera,3,Low
Derek Eisenberg,12,Medium
Derek Greene,36,High
Derek Simoneau,5,Low
Desiree Martinelli,2,Low
Devon Dwyer,2,Low
Diana Barone,20,High
Diana Kryston,20,High
Diana Tavares,7,Low
Diane Araujo,2,Low
Diane Aubin,1,Low
Diane Dailey,1,Low
Diane Darrah,1,Low
Diane Guertler,1,Low
Diane Lazarus,35,High
Diane St. Amour,1,Low
Dianne Lemay,1,Low
Dina Karousos,3,Low
Dina Murphy,5,Low
Dolores DiMeo Carroll,3,Low
Dolores Rabuffo,1,Low
Dominique Cipriano,3,Low
Domique ECCLESTON,2,Low
Don Batten,1,Low
Don Martone,5,Low
Don Morash,1,Low
Don Morash Team,4,Low
Don Parsons,3,Low
Dona Vellucci,8,Low
Donald Coletti,16,Medium
Donald LaBranche,1,Low
Donald Savastano,3,Low
Donna Castellone,17,Medium
Donna Conway,5,Low
Donna Delauro,4,Low
Donna DiGiulio,21,High
Donna Durand,2,Low
Donna Fagnant,13,Medium
Donna Feeley,2,Low
Donna Gomes,18,Medium
Donna Holmes,1,Low
Donna Lima - Johnson,11,Low
Donna Prete-Gomes,4,Low
Donna Proulx Ainsworth,6,Low
Donna Ricci,1,Low
Donna Sabitoni,4,Low
Donna Sczerbinski,3,Low
Donna Valeriana,1,Low
Donna Webster,1,Low
Donnie Bennett,9,Low
Doreen Caruso,14,Medium
Doreen Davila,1,Low
Doreen Mullaly,3,Low
Doreen Peirce,9,Low
Doreen Picone,3,Low
Doreen Reynolds,2,Low
Dorian Solis,1,Low
Dottie Goulet,3,Low
Doug Bennett,8,Low
Doug Jeffrey,17,Medium
Doug Mittelsteadt,3,Low
Douglas Lopez,2,Low
Douglas Martin,1,Low
Duane Albro,1,Low
Duane Boucher,46,High
Duke Silva,8,Low
Dulce Peguero,1,Low
Dwight LEIGH,9,Low
E. Cort Facteau,6,Low
ED D'Agostino,10,Low
Ed Duffy,46,High
Ed Izeman,5,Low
Ed Kazarian,18,Medium
Ed Viveiros,3,Low
Edward Bishop,2,Low
Edward Fracassa,1,Low
Edward Kanneh,1,Low
Edward Neubauer,1,Low
Edward Pellegrino,2,Low
Edward Stachurski,12,Medium
Edward West,6,Low
Eileen Ryan,1,Low
Elaine ECCLESTON,4,Low
Elaine Lemieux,1,Low
Elaine Marrero,1,Low
Eleanor San Antonio,1,Low
Elena Yanez,2,Low
Elise Geddes,3,Low
Elise Pansey,19,Medium
Elise Vetri,22,High
Elise Vetri & Associates,36,High
Elizabeth DeSousa,6,Low
Elizabeth K Chace,1,Low
Elizabeth Kirk,6,Low
Elizabeth O'Connor,1,Low
Elizabeth Ruiz,1,Low
Elizabeth VARS,1,Low
Elizabeth Walsh,1,Low
Elizete Silva,6,Low
Elle O'Donnell-Forte,2,Low
Ellen Bradley,4,Low
Ellen Brady,7,Low
Ellen Connelly,3,Low
Ellen Feole,1,Low
Ellen Kasle,25,High
Ellen Morrissey,1,Low
Ellen Yost,2,Low
Elmehdi Mechtaly,2,Low
Elyse Gesmondi,1,Low
Emeka Ndukwe,2,Low
Emily Kheradi,3,Low
Emmy Dwyer,1,Low
Eric Brouillard,20,High
Eric Gonsalves,5,Low
Eric Kopf,2,Low
Eric Proulx,6,Low
Erica Kregling,3,Low
Erica LeBeau,7,Low
Erica Penardo,2,Low
Ericka Morales,2,Low
Erin Hopkins,4,Low
Erin Mercer,3,Low
Erin Morse,1,Low
Erin Sheridan,4,Low
Erin Smith,1,Low
Ernest Lambert,14,Medium
Ernie Boren,1,Low
Erny Francisco,1,Low
Eve C. Bonitati,2,Low
Evelyn Arias,1,Low
Evelyn Ranone,1,Low
Evelyn Tomaszewski,2,Low
Fabiola Brunache,3,Low
Feighery Moniz Team,10,Low
Feng Lei,11,Low
Filomena ALTIERI,1,Low
Filomena Silva,11,Low
Flora Rocha,1,Low
Florence Byrnes,3,Low
Forlini Group,1,Low
Fran ENGLISH,1,Low
Frances Pearson,7,Low
Francis Hiraldo,5,Low
Francisco Batista,8,Low
Frank DeFruscio,1,Low
Frank Miele,32,High
Frank Moreau,4,Low
Frank Paola,1,Low
Frank Simonelli,3,Low
Frank Sullivan,7,Low
Frank Villella,2,Low
Fred Bernat,1,Low
Fred D'Aguanno,36,High
Fred Richenderfer,9,Low
Fred Uriot,1,Low
Fredda Korber,1,Low
Friedman Real Estate Group,7,Low
Gabe Francis,14,Medium
Gail Jenard,6,Low
Gail Lemek,5,Low
Gail Sears DeFelice,2,Low
Gamaliel Ferreira,4,Low
Gammons Team,2,Low
Garret Roberts,4,Low
Garry Reilly,5,Low
Gary Almeida,6,Low
Gary Balletto,1,Low
Gary Diggle,2,Low
Gary Giammarco,6,Low
Gary Grande,2,Low
Gary Mallozzi,1,Low
Gayle Moone,12,Medium
Gayle Sepe,2,Low
Genie Coelho,3,Low
George Avedisian,1,Low
George Calat,1,Low
George Dys,1,Low
George Gardner,1,Low
George Hannouch,29,High
George Henry,4,Low
George Linnane Jr.,2,Low
George Martini,7,Low
George Murphy,4,Low
George Potsidis,1,Low
George Simone,1,Low
George Stansfield,8,Low
George Thomas III,1,Low
George Villari,1,Low
Gerard Laferriere,2,Low
GERI Santagata,1,Low
Gerri Schiffman,99,High
Gia Parmentier,7,Low
Gian Ventilato,1,Low
Gil Campos,4,Low
Gil Medeiros,7,Low
Gilda Aldana,1,Low
Gina Howarth Team,46,High
Gina Perry,4,Low
Gina Ronci Mohamed,4,Low
Glen Lombardi,15,Medium
Glen Reichard,1,Low
Glenda Pagan-Gonzalez,1,Low
Glenn Carpenter,2,Low
Glenn D'Arrigo,1,Low
Glenn Stavens,4,Low
Gloria Kurz,1,Low
Grace Flaherty,1,Low
Grace Sahagian,2,Low
Greg Contardo,1,Low
Greg Dantas,14,Medium
Greg Morrison,1,Low
Gregg Rondeau,2,Low
Gregory Costa,1,Low
Gregory Datseris,2,Low
Gregory ECCLESTON,3,Low
Gregory Marderosian,1,Low
Guerline Aurelus,1,Low
Gus Marsella,2,Low
Guy Gervais,9,Low
H. Weber Wilson,1,Low
Hank Demers,1,Low
Hanne LeBlanc,1,Low
Harold Lavine,1,Low
Harry Smith,5,Low
Harry Woloohojian,1,Low
Heather Hawkins,1,Low
Heather Jarry,1,Low
Heather Realejo,11,Low
Heatheran Kristopher,1,Low
Hector Rosa,11,Low
Heidi Farmer Piccerelli,5,Low
Heidi Kelley,10,Low
Helen Arlia,1,Low
Helen Coupe,5,Low
Helen Duckworth,1,Low
Helen Macdonald,3,Low
Helene Dominguez,6,Low
Henry Priest,2,Low
Henry Valati,3,Low
Herman Sousa,2,Low
Hermano Pereira,1,Low
Hill Harbor Group,48,High
Hollie Curtis,2,Low
Holly Applegate,12,Medium
Holly Bellucci,22,High
Holly Richendrfer,1,Low
Hope Brady,1,Low
Howie Julian,2,Low
Howie Reiner,2,Low
Ian Barnacle,1,Low
Ilanna Ball,9,Low
Ilene Rose,1,Low
Inessa Moshkina,3,Low
Irene Goulet,20,High
Irma Barrios,2,Low
Irma Bolanos,1,Low
Isabel Amado,1,Low
Isabel Ferreira,1,Low
Isabel Garcia,1,Low
Israel Akinbo,1,Low
Ivelisse Rodriguez,1,Low
Ivy Lamonica,2,Low
Izabella Whiting,4,Low
J. Christopher Real Estate Group,11,Low
J. Dolan,3,Low
J. Ronald Brochu,1,Low
Jack Clark,1,Low
Jack Galvao,6,Low
Jack Glancy,1,Low
Jack Harrington,6,Low
Jack Leonard,1,Low
Jack Mayo,2,Low
Jack McVicker,1,Low
Jack Silberman,1,Low
Jackie Lenahan,8,Low
Jacklyn Ross,1,Low
Jacob Rochefort,16,Medium
Jacqueline Mallett,6,Low
Jacquelyn Clegg,1,Low
Jaime Desousa,1,Low
Jaime Moretti,5,Low
Jaime Rua,4,Low
James DiCenzo,1,Low
James Girardi,5,Low
James Howard,1,Low
James Jodoin,8,Low
James Karalekas,3,Low
James Luth,15,Medium
James Macchio,3,Low
James Marsh Jr.,1,Low
James San Giovanni,10,Low
James Spearman,1,Low
James Thompson,5,Low
James Wardick,1,Low
James Wilkie,1,Low
Jamie Rebello,4,Low
Jamison Monello,44,High
Jan D'Angelo,2,Low
Jan Hay,4,Low
Jan Malcolm,5,Low
Jan Parrillo,3,Low
Jan Pinckard,4,Low
Jan Truitt,1,Low
Jane Driver,15,Medium
Jane Larsen,3,Low
Jane Marshall,10,Low
Janet AUDET,14,Medium
JANET AUDET,3,Low
Janet Dolber,2,Low
Janet Ellis,2,Low
Janet Emond,2,Low
Janet Flori,9,Low
Janet Fromm,3,Low
Janet Kowalski,2,Low
Janet Maloy,3,Low
Janet Morrissey,1,Low
Janet Raymond,3,Low
Janet Scaralia,8,Low
Janet Towner,6,Low
Janet WESTERMAN,1,Low
Janice Costello,7,Low
Janice Faria,1,Low
Janice Geddes,33,High
Janice Henry,3,Low
Janice Lowell,2,Low
Janie Aracil,2,Low
Janis CAPPELLO,3,Low
Janis Turner,1,Low
Jared Iannelli,2,Low
Jared Tomassi,3,Low
Jarrod Lewis,4,Low
Jasmine Melo,5,Low
Jason Corsini,11,Low
Jason Farley,5,Low
Jason Gelfuso,7,Low
Jason Healey,6,Low
Jason Monterecy,6,Low
Jason Saphire,38,High
Jason Smith,41,High
Jay Badger,4,Low
Jay Rezendes,13,Medium
Jay Shaw,3,Low
Jayne Furlong,2,Low
Jazz Napolitano,10,Low
Jean Albert,1,Low
Jean Allard,11,Low
Jean Clarke,50,High
Jean Fallago,1,Low
Jean Marzilli,7,Low
Jean Tinsworth,9,Low
Jeane Retelle,2,Low
Jeanie Gorrie,7,Low
Jeanne Derham,3,Low
Jeanne e Team,4,Low
Jeanne Lomastro,1,Low
Jeanne Powers,1,Low
Jeanne Smith-Haroian,5,Low
Jeanne Smith Team,2,Low
Jeff Brooks,3,Low
Jeff Clare,2,Low
Jeff HAMILTON,2,Low
Jeff Harris,7,Low
Jeff Leduc,3,Low
Jeff Silva,5,Low
Jeff St. Germain,5,Low
Jeff&Evelyn Weller Team,3,Low
Jeffrey Allaire,4,Low
Jeffrey Davenport,3,Low
Jeffrey Fontaine,15,Medium
Jeffrey Infante,12,Medium
Jeffrey Jaquith,1,Low
Jeffrey Mateus,54,High
Jeffrey Miksis,1,Low
Jeffrey Nunez,1,Low
Jeffrey Wolstencroft,1,Low
Jenn Mailloux,3,Low
Jennifer Boucher,4,Low
Jennifer DeRobbio,1,Low
Jennifer Herker,1,Low
Jennifer Higham,1,Low
Jennifer Jackson,1,Low
Jennifer Lemme,9,Low
Jennifer Mello,6,Low
Jennifer Mendez,1,Low
Jennifer Moran,1,Low
Jennifer Moretti,1,Low
Jennifer Naylor,7,Low
Jennifer O'Hearne,5,Low
Jennifer Petreccia,5,Low
Jennifer Powers,2,Low
Jennifer Santosuosso,2,Low
Jennifer Steadman,1,Low
Jennifer Wieting,1,Low
Jenny Pappas,3,Low
Jeremie Blum,3,Low
Jeremy Bailey,14,Medium
Jeremy Provost,1,Low
Jess Powers,4,Low
Jesse Andrews,1,Low
Jessica Andrade,1,Low
Jessica Antonelli,3,Low
Jessica Azarian,2,Low
Jessica Benedetti,1,Low
Jessica Braza,2,Low
Jessica Gavigan,1,Low
Jessica Giorgi,3,Low
Jessica Kalogeras,1,Low
Jessica Rebello,11,Low
Jessica Wasserman,1,Low
Jill Gallant,1,Low
Jill Weathers,7,Low
Jillian Naylor,2,Low
Jim Abbott,1,Low
Jim Baptista,1,Low
Jim Conway,1,Low
Jim DelBonis,9,Low
Jim DeRentis,39,High
Jim Durkin,1,Low
Jim Kacewicz,20,High
Jim Mancini,5,Low
Jim Newcomb,7,Low
Jim Nispel,3,Low
Jim Silberman,3,Low
Jimmy Andrade,16,Medium
Jimmy Ranieri,14,Medium
Jj Jimenez,1,Low
Jo-Ann Carlton,32,High
Jo-Ann Molinaro,23,High
Joan Crocker,1,Low
Joan Dion,3,Low
Joan M. Bianco,4,Low
Joan Rothemich,1,Low
Joan Siegrist,1,Low
Joan Warren,1,Low
Joann Ayala,1,Low
JoAnn Silva,2,Low
Joann Silvia,8,Low
JoAnn Spremulli,2,Low
Joanne Eckhardt,1,Low
Joanne Matuszek,2,Low
Joanne Perella,2,Low
JoAnne Rossi,4,Low
Jodi-Lynn Graziano,1,Low
Jodi Healy,1,Low
Jodi Hedrick,7,Low
Jodie Jordan,4,Low
Jodie Lynn Marinosci Smith,2,Low
Jody Martins,4,Low
Joe DeChristofaro,6,Low
JOE Garcia,1,Low
Joe Iaciofano,1,Low
Joe LaCroix,2,Low
Joe Luca,4,Low
Joe Matteo,2,Low
Joe McCarthy,14,Medium
Joe Olivelli,5,Low
Joe Roch,2,Low
Joe Sekac,2,Low
Joe Spremulli,4,Low
Joe Suffoletto,1,Low
Joel Langlois,1,Low
Joellen Wunner,6,Low
Johanna Ferrucci,1,Low
John Adalio,1,Low
John Anderson,2,Low
John Baffoni,9,Low
John Barros,4,Low
John Berardi,2,Low
John Bessette,45,High
John Biafore,1,Low
John Bianco,2,Low
John Brady,2,Low
John Cappello,1,Low
John Chapski,9,Low
John Colafrancesco,6,Low
John D'Ellena,3,Low
John Eunis,2,Low
John Ferri,8,Low
John Gonsalves,36,High
John Gower,27,High
John Hofmann,2,Low
John Janusz,2,Low
